Date,Website,Title,URL,Author
2025-12-24T21:18:37Z,Steelers.com,Rodgers is always ready to adapt and adjust,https://www.steelers.com/news/rodgers-is-always-ready-to-adapt-and-adjust,Jim Wexell
2025-12-24T00:42:00Z,ESPN,Metcalf's ban upheld; fan's conduct under review,https://www.espn.com/nfl/story/_/id/47402230/dk-metcalf-suspension-upheld-wr-miss-steelers-final-2-games,Brooke Pryor
2025-12-25T20:59:25Z,Fox News,"Steelers' Aaron Rodgers reacts to teammate's fan altercation, talks rise of negative interactions",https://www.foxnews.com/sports/steelers-aaron-rodgers-reacts-teammates-fan-altercation-talks-rise-negative-interactions,Ryan Gaydos
2025-12-21T23:25:26Z,Detroit Free Press,Lions fan says DK Metcalf swung at him after he used star's full name,https://www.freep.com/story/sports/nfl/lions/2025/12/21/dk-metcalf-punch-pittsburgh-steelers-detroit-lions-ford-field/87875725007/,Christian Romo & Andrew Birkle
2025-12-24T20:49:02Z,Chicago Bears,Bears' winning TD came on perfect play at perfect time,https://www.chicagobears.com/news/bears-winning-td-came-on-perfect-play-at-perfect-time,Larry Mayer
2025-12-23T17:48:58Z,Chicago Bears,Bears' belief in rookie Jahdae Walker strong since training camp,https://www.chicagobears.com/news/bears-belief-in-rookie-jahdae-walker-strong-since-training-camp,Larry Mayer
2025-12-24T20:30:13Z,Sports Illustrated,Bears' dramatic win over Packers dwarfs TV audience for College Football Playoff,https://www.si.com/nfl/bears/onsi/news/bears-dramatic-win-over-packers-dwarfs-tv-audience-for-college-football-playoff-,Richie Whitt
2025-12-24T09:43:14Z,NBC Sports,Bears are first team in NFL history to win six games they trailed in the last two minutes,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/bears-are-first-team-in-nfl-history-to-win-six-games-they-trailed-in-the-last-two-minutes,Michael David Smith
2025-12-24T13:00:00Z,ESPN,"SGA, Cooper Flagg could be next stars with notable Christmas Day debut",https://www.espn.com/nba/story/_/id/47393405/top-notable-nba-christmas-day-holiday-debuts,Anthony Gharib
2025-12-25T05:15:47Z,NBA,Report: Nuggets forward Cameron Johnson avoids major knee injury,https://www.nba.com/news/nuggets-cameron-johnson-knee-injury,Arnie Stapleton
2025-12-25T17:29:00Z,ESPN,Sources: Nuggets' Johnson out at least 4-6 weeks,https://www.espn.com/nba/story/_/id/47411874/sources-nuggets-johnson-reevaluated-4-6-weeks,N/A
2025-12-25T19:54:10Z,CBS Sports,Cam Johnson injury update: Denver Nuggets lose a third starter with forward expected to miss 4-6 weeks,https://www.cbssports.com/nba/news/cam-johnson-injury-update-denver-nuggets-timetable/,Robby Kalland
2025-12-24T17:55:52Z,The Denver Post,"Cam Johnson's knee injury turns out to be bone bruise, but Nuggets lose another starter for Christmas",https://www.denverpost.com/2025/12/24/cam-johnson-knee-injury-christmas-game-nuggets-timberwolves/,Bennett Durando
2025-12-25T20:06:11Z,Detroit Lions,INACTIVES: Lions at Vikings,https://www.detroitlions.com/news/inactives-lions-at-vikings-decker-colon-maddox,Tim Twentyman
2025-12-26T00:55:00Z,Detroit Free Press,Amon-Ra St. Brown leaves game late in 4th quarter vs Vikings,https://www.freep.com/story/sports/nfl/lions/2025/12/25/lions-vikings-injury-updates-christmas/87914652007/,Christian Romo
2025-12-25T11:22:39Z,ClickOnDetroit | WDIV Local 4,Detroit Lions list 7 players out on injury report ahead of Christmas Day matchup vs. Vikings,https://www.clickondetroit.com/sports/2025/12/25/detroit-lions-list-2-players-out-11-questionable-on-injury-report-ahead-of-christmas-game-vs-vikings/,N/A
2025-12-25T16:58:33Z,NBC Sports,Lions add illness to Taylor Decker's injury designation,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/lions-add-illness-to-taylor-deckers-injury-designation,Myles Simmons
2025-12-25T14:02:44Z,Ravens Home | Baltimore Ravens - baltimoreravens.com,50 Words or Less: The Ravens Hope Another Road Game Brings Out Their Best,https://www.baltimoreravens.com/news/lamar-jackson-tyler-huntley-micah-parsons-mark-andrews-ravens-packers-week-17,Clifton Brown
2025-12-23T20:53:27Z,Green Bay Packers - packers.com,"Packers vs. Ravens | How to watch, stream & listen | Week 17",https://www.packers.com/news/packers-vs-ravens-how-to-watch-stream-listen-week-17-2025,N/A
