Date,Website,Title,URL,Author
2025-12-31T23:50:00Z,CBS News,"Alleged drug smugglers jumped overboard in recent boat strikes, U.S. military says",https://www.cbsnews.com/news/alleged-drug-smugglers-jumped-overboard-latest-boat-strikes-pacific-us-military/,Caitlin Yilek
2025-12-31T22:29:41Z,CNN,"US military says at least eight killed in new strikes on alleged drug boats, with survivors abandoning ship",https://www.cnn.com/2025/12/31/politics/us-strikes-alleged-drug-vessels,Michael Williams & Zachary Cohen
2025-12-30T00:31:50Z,The New York Times,"U.S. Kills 2 in Strike in Pacific, as Trump Pressures Venezuela",https://www.nytimes.com/2025/12/29/us/politics/pacific-trump-venezuela-boat-strike.html,Eric P. Schmitt
2026-01-01T01:59:47Z,Fox News,US military confirms 5 killed in Dec 31 kinetic strike on reported narco-terror vessels,https://www.foxnews.com/us/us-military-confirms-5-killed-dec-31-kinetic-strike-reported-narco-terror-vessels,Jasmine Baehr
2026-01-01T00:50:26Z,Star Tribune,We went to some of the day cares Nick Shirley did. Here's what we found.,https://www.startribune.com/day-care-fraud-minnesota-video/601554760,Deena Winter & Jeffrey Meitrodt
2025-12-31T10:02:39Z,The New York Times,An Intense White House Response From a Single Viral Video,https://www.nytimes.com/2025/12/31/business/media/trump-conservatives-videos-viral-loop.html,Ken Bensinger & Ernesto Londono
2025-12-31T04:46:00Z,CBS News,Director of Minnesota day care featured in YouTube video on fraud responds,https://www.cbsnews.com/minnesota/news/minnesota-day-care-fraud-director-responds/,Conor Wight
2025-12-31T20:58:29Z,CNN,"What's new, what's not: Parsing the rhetoric around the Minnesota child care fraud firestorm",https://www.cnn.com/2025/12/31/politics/trump-walz-minnesota-child-care-fraud,Daniel Dale & Steve Contorno
2025-12-31T22:51:56Z,Fox News,San Antonio teen who vanished Christmas Eve found dead by suicide in nearby field after days-long search,https://www.foxnews.com/us/san-antonio-teen-vanished-christmas-eve-found-dead-suicide-nearby-field-days-long-search,Alexandra Koch
2026-01-01T02:32:35Z,ABC News,"Body found confirmed to be missing 19-year-old Camila Mendoza Olmos, death ruled suicide",https://abcnews.go.com/US/body-located-amid-search-missing-texas-teen-sheriff/story?id=128793412,Meredith Deliso & Emily Shapiro
2025-12-26T04:31:44Z,kens5.com,'I only ask God to please bring her back home': Search underway after CLEAR Alert issued for missing San Antonio teen,https://www.kens5.com/article/news/local/search-underway-clear-alert-missing-san-antonio-teen-texas-family/273-ed796e1a-5e0a-4cc1-9c73-cbb2ca1b870a,Mike Jimenez
2025-12-31T21:33:06Z,Yahoo,"Camila Mendoza Olmos, Texas teen who disappeared on Christmas Eve, confirmed dead, authorities say",https://www.yahoo.com/news/us/article/camila-mendoza-olmos-texas-teen-who-disappeared-on-christmas-eve-confirmed-dead-authorities-say-180640351.html,Kaitlin Reilly
2025-12-31T12:00:00Z,CBS News,Who's performing at tonight's Times Square ball drop for New Year's Eve 2026?,https://www.cbsnews.com/news/times-square-performers-new-years-eve-2026/,Alex Sundby & Emily Mae Czachor
